date,day,day_suffix,day_of_week,day_of_year,week_of_year,week_of_month,month,month_name,quarter,quarter_name,year
19000901,01,Sat,6,1,35,1,09,September,3,Q3,1900
19000902,02,Sun,0,2,35,1,09,September,3,Q3,1900
19000903,03,Mon,1,3,36,1,09,September,3,Q3,1900
19000904,04,Tue,2,4,36,2,09,September,3,Q3,1900
19000905,05,Wed,3,5,36,2,09,September,3,Q3,1900
19000906,06,Thu,4,6,36,2,09,September,3,Q3,1900
19000907,07,Fri,5,7,36,3,09,September,3,Q3,1900
19000908,08,Sat,6,8,36,3,09,September,3,Q3,1900
19000909,09,Sun,0,9,36,3,09,September,3,Q3,1900
19000910,10,Mon,1,10,37,4,09,September,3,Q3,1900
19000911,11,Tue,2,11,37,4,09,September,3,Q3,1900
19000912,12,Wed,3,12,37,4,09,September,3,Q3,1900
19000913,13,Thu,4,13,37,5,09,September,3,Q3,1900
19000914,14,Fri,5,14,37,5,09,September,3,Q3,1900
19000915,15,Sat,6,15,37,5,09,September,3,Q3,1900
19000916,16,Sun,0,16,37,6,09,September,3,Q3,1900
19000917,17,Mon,1,17,38,6,09,September,3,Q3,1900
19000918,18,Tue,2,18,38,6,09,September,3,Q3,1900
19000919,19,Wed,3,19,38,7,09,September,3,Q3,1900
19000920,20,Thu,4,20,38,7,09,September,3,Q3,1900
19000921,21,Fri,5,21,38,7,09,September,3,Q3,1900
19000922,22,Sat,6,22,38,8,09,September,3,Q3,1900
19000923,23,Sun,0,23,38,8,09,September,3,Q3,1900
19000924,24,Mon,1,24,39,8,09,September,3,Q3,1900
19000925,25,Tue,2,25,39,9,09,September,3,Q3,1900
19000926,26,Wed,3,26,39,9,09,September,3,Q3,1900
19000927,27,Thu,4,27,39,9,09,September,3,Q3,1900
19000928,28,Fri,5,28,39,10,09,September,3,Q3,1900
19000929,29,Sat,6,29,39,10,09,September,3,Q3,1900
19000930,30,Sun,0,30,39,10,09,September,3,Q3,1900
19001001,01,Mon,1,1,40,1,10,October,4,Q4,1900
19001002,02,Tue,2,2,40,1,10,October,4,Q4,1900
19001003,03,Wed,3,3,40,1,10,October,4,Q4,1900
19001004,04,Thu,4,4,40,2,10,October,4,Q4,1900
19001005,05,Fri,5,5,40,2,10,October,4,Q4,1900
19001006,06,Sat,6,6,40,2,10,October,4,Q4,1900
19001007,07,Sun,0,7,40,3,10,October,4,Q4,1900
19001008,08,Mon,1,8,41,3,10,October,4,Q4,1900
19001009,09,Tue,2,9,41,3,10,October,4,Q4,1900
19001010,10,Wed,3,10,41,4,10,October,4,Q4,1900
19001011,11,Thu,4,11,41,4,10,October,4,Q4,1900
19001012,12,Fri,5,12,41,4,10,October,4,Q4,1900
19001013,13,Sat,6,13,41,5,10,October,4,Q4,1900
19001014,14,Sun,0,14,41,5,10,October,4,Q4,1900
19001015,15,Mon,1,15,42,5,10,October,4,Q4,1900
19001016,16,Tue,2,16,42,6,10,October,4,Q4,1900
19001017,17,Wed,3,17,42,6,10,October,4,Q4,1900
19001018,18,Thu,4,18,42,6,10,October,4,Q4,1900
19001019,19,Fri,5,19,42,7,10,October,4,Q4,1900
19001020,20,Sat,6,20,42,7,10,October,4,Q4,1900
19001021,21,Sun,0,21,42,7,10,October,4,Q4,1900
19001022,22,Mon,1,22,43,8,10,October,4,Q4,1900
19001023,23,Tue,2,23,43,8,10,October,4,Q4,1900
19001024,24,Wed,3,24,43,8,10,October,4,Q4,1900
19001025,25,Thu,4,25,43,9,10,October,4,Q4,1900
19001026,26,Fri,5,26,43,9,10,October,4,Q4,1900
19001027,27,Sat,6,27,43,9,10,October,4,Q4,1900
19001028,28,Sun,0,28,43,10,10,October,4,Q4,1900
19001029,29,Mon,1,29,44,10,10,October,4,Q4,1900
19001030,30,Tue,2,30,44,10,10,October,4,Q4,1900
19001031,31,Wed,3,31,44,11,10,October,4,Q4,1900
19001101,01,Thu,4,1,44,1,11,November,4,Q4,1900
19001102,02,Fri,5,2,44,1,11,November,4,Q4,1900
19001103,03,Sat,6,3,44,1,11,November,4,Q4,1900
19001104,04,Sun,0,4,44,2,11,November,4,Q4,1900
19001105,05,Mon,1,5,45,2,11,November,4,Q4,1900
19001106,06,Tue,2,6,45,2,11,November,4,Q4,1900
19001107,07,Wed,3,7,45,3,11,November,4,Q4,1900
19001108,08,Thu,4,8,45,3,11,November,4,Q4,1900
19001109,09,Fri,5,9,45,3,11,November,4,Q4,1900
19001110,10,Sat,6,10,45,4,11,November,4,Q4,1900
19001111,11,Sun,0,11,45,4,11,November,4,Q4,1900
19001112,12,Mon,1,12,46,4,11,November,4,Q4,1900
19001113,13,Tue,2,13,46,5,11,November,4,Q4,1900
19001114,14,Wed,3,14,46,5,11,November,4,Q4,1900
